date,PRCP,SNOW,TMAX
2021-07-17T00:00:00,0.62,0,91
2021-07-18T00:00:00,0.03,0,84
2021-07-19T00:00:00,0.01,0,81
2021-07-20T00:00:00,0,0,86
2021-07-21T00:00:00,0.05,0,80
2021-07-22T00:00:00,0,0,81
2021-07-23T00:00:00,0.01,0,83
2021-07-24T00:00:00,0,0,84
2021-07-25T00:00:00,0.49,0,83
2021-07-26T00:00:00,0.78,0,88
2021-07-27T00:00:00,0,0,89
2021-07-28T00:00:00,0.14,0,81
2021-07-29T00:00:00,0.47,0,77
2021-07-30T00:00:00,0,0,82
2021-07-31T00:00:00,0,0,77
2021-08-01T00:00:00,0.04,0,77
2021-08-02T00:00:00,0,0,80
2021-08-03T00:00:00,0,0,79
2021-08-04T00:00:00,0,0,76
2021-08-05T00:00:00,0,0,81
2021-08-06T00:00:00,0,0,88
2021-08-07T00:00:00,0,0,87
2021-08-08T00:00:00,0.21,0,77
2021-08-09T00:00:00,0,0,81
2021-08-10T00:00:00,0.83,0,84
2021-08-11T00:00:00,0.18,0,89
2021-08-12T00:00:00,0,0,93
2021-08-13T00:00:00,0,0,94
2021-08-14T00:00:00,0,0,88
2021-08-15T00:00:00,0,0,83
2021-08-16T00:00:00,0,0,83
2021-08-17T00:00:00,0,0,81
2021-08-18T00:00:00,0,0,83
2021-08-19T00:00:00,0.2,0,85
2021-08-20T00:00:00,0,0,82
2021-08-21T00:00:00,4.45,0,82
2021-08-22T00:00:00,2.67,0,76
2021-08-23T00:00:00,1.07,0,83
2021-08-24T00:00:00,0,0,89
2021-08-25T00:00:00,0,0,91
2021-08-26T00:00:00,0,0,91
2021-08-27T00:00:00,0.67,0,93
2021-08-28T00:00:00,0,0,80
2021-08-29T00:00:00,0,0,76
2021-08-30T00:00:00,0,0,85
2021-08-31T00:00:00,0,0,83
2021-09-01T00:00:00,7.13,0,78
2021-09-02T00:00:00,0.1,0,77
2021-09-03T00:00:00,0,0,74
2021-09-04T00:00:00,0,0,79
2021-09-05T00:00:00,0.02,0,74
2021-09-06T00:00:00,0,0,81
2021-09-07T00:00:00,0,0,79
2021-09-08T00:00:00,0,0,82
2021-09-09T00:00:00,0.26,0,76
2021-09-10T00:00:00,0,0,74
2021-09-11T00:00:00,0,0,76
2021-09-12T00:00:00,0,0,81
2021-09-13T00:00:00,0.12,0,83
2021-09-14T00:00:00,0,0,80
2021-09-15T00:00:00,0,0,85
2021-09-16T00:00:00,0,0,76
2021-09-17T00:00:00,0,0,75
2021-09-18T00:00:00,0,0,84
2021-09-19T00:00:00,0,0,76
2021-09-20T00:00:00,0,0,75
2021-09-21T00:00:00,0.09,0,76
2021-09-22T00:00:00,0.01,0,79
2021-09-23T00:00:00,1.37,0,79
2021-09-24T00:00:00,0.66,0,72
2021-09-25T00:00:00,0,0,75
2021-09-26T00:00:00,0,0,71
2021-09-27T00:00:00,0,0,78
2021-09-28T00:00:00,0.27,0,71
2021-09-29T00:00:00,0,0,68
2021-09-30T00:00:00,0,0,65
2021-10-01T00:00:00,0,0,67
2021-10-02T00:00:00,0,0,74
2021-10-03T00:00:00,0,0,77
2021-10-04T00:00:00,0.15,0,73
2021-10-05T00:00:00,0,0,65
2021-10-06T00:00:00,0,0,69
2021-10-07T00:00:00,0,0,73
2021-10-08T00:00:00,0,0,76
2021-10-09T00:00:00,0,0,67
2021-10-10T00:00:00,0.11,0,66
2021-10-11T00:00:00,0,0,71
2021-10-12T00:00:00,0,0,69
2021-10-13T00:00:00,0,0,69
2021-10-14T00:00:00,0,0,76
2021-10-15T00:00:00,0,0,79
2021-10-16T00:00:00,0.25,0,76
2021-10-17T00:00:00,0,0,61
2021-10-18T00:00:00,0,0,58
2021-10-19T00:00:00,0,0,66
2021-10-20T00:00:00,0,0,75
2021-10-21T00:00:00,0,0,73
2021-10-22T00:00:00,0,0,69
2021-10-23T00:00:00,0.01,0,59
2021-10-24T00:00:00,0.03,0,59
2021-10-25T00:00:00,0.23,0,73
2021-10-26T00:00:00,3.3,0,63
2021-10-27T00:00:00,0.16,0,61
2021-10-28T00:00:00,0,0,57
2021-10-29T00:00:00,0.41,0,56
2021-10-30T00:00:00,0.57,0,64
2021-10-31T00:00:00,0.04,0,63
2021-11-01T00:00:00,0,0,58
2021-11-02T00:00:00,0,0,53
2021-11-03T00:00:00,0,0,51
2021-11-04T00:00:00,0,0,50
2021-11-05T00:00:00,0,0,51
2021-11-06T00:00:00,0,0,52
2021-11-07T00:00:00,0,0,53
2021-11-08T00:00:00,0,0,63
2021-11-09T00:00:00,0,0,68
2021-11-10T00:00:00,0,0,64
2021-11-11T00:00:00,0.01,0,61
2021-11-12T00:00:00,0.48,0,65
2021-11-13T00:00:00,0.33,0,62
2021-11-14T00:00:00,0.02,0,48
2021-11-15T00:00:00,0,0,47
2021-11-16T00:00:00,0,0,49
2021-11-17T00:00:00,0,0,57
2021-11-18T00:00:00,0.09,0,69
2021-11-19T00:00:00,0.01,0,48
2021-11-20T00:00:00,0,0,47
2021-11-21T00:00:00,0.01,0,56
2021-11-22T00:00:00,0.04,0,55
2021-11-23T00:00:00,0,0,42
2021-11-24T00:00:00,0,0,45
2021-11-25T00:00:00,0.01,0,56
2021-11-26T00:00:00,0.12,0,47
2021-11-27T00:00:00,0,0,39
2021-11-28T00:00:00,0,0,41
2021-11-29T00:00:00,0,0,45
2021-11-30T00:00:00,0,0,41
2021-12-01T00:00:00,0,0,49
